id,nom,prenom,email,date_naissance,pays,code_postal,chiffre_affaires_total,nb_projets,dernier_contact
1,Nguyen,Paul,paul.nguyen@domain.com,,TN,16000,1235.0,0,2024-10-01
2,Haddad,Lucas,lucas.haddad@yahoo.com,,FR,01300,1905.0,0,
3,Dupont,Awa,awa.dupont@gmail.com,,TN,75000,1144.0,17,
4,Benali,Sophie,sophie.benali@gmail.com,,MA,31000,8751.0,20,
5,Martin,Amine,amine.martin@domain.com,,TN,75000,4462.0,15,
6,Haddad,Awa,awa.haddad@domain.com,,FR,01300,6396.0,11,
7,Diallo,Marie,mariediallo@outlook.com,,TN,75000,3962.0,19,2024-10-01
8,Nguyen,Karim,karim.nguyen@yahoo.com,,TN,31000,4562.0,16,2024-10-01
9,Nguyen,Lina,lina.nguyen@gmail.com,,MA,31000,7542.0,17,
10,Haddad,Sophie,sophie.haddad@domain.com,,TN,01300,9151.0,17,
12,Martin,Jean,jeanmartin@yahoo.com,,DZ,75000,2110.0,9,
13,Durand,Marie,mariedurand@outlook.com,,TN,01300,2031.0,9,
14,Benali,Lucas,lucasbenali@yahoo.com,,MA,75000,10529.0,12,
15,Dupont,Paul,paul.dupont@yahoo.com,,TN,16000,13604.0,20,
16,Haddad,Jean,jean.haddad@outlook.com,,FR,75000,9920.0,2,
17,Moreau,Amine,amine.moreaugmail.com,,DZ,31000,13921.0,19,2024-10-01
18,Dupont,Awa,awa.dupont@domain.com,,DZ,16000,10287.0,12,
19,Leroy,Amine,amine.leroy@gmail.com,,FR,75000,12825.0,18,
20,Benali,Paul,paulbenali@outlook.com,,TN,16000,12032.0,2,
21,Martin,Jean,jean.martin@outlook.com,,TN,01300,4098.0,9,2024-10-01
22,Nguyen,Sophie,sophie.nguyen@gmail.com,,MA,75000,3669.0,4,
23,Benali,Paul,paul.benaliyahoo.com,,FR,01300,1015.0,17,2024-10-01
24,Diallo,Marie,mariediallo@gmail.com,,FR,16000,13313.0,1,
25,Petit,Sophie,sophiepetit@yahoo.com,,FR,75000,10832.0,17,
26,Leroy,Amine,amineleroy@gmail.com,,FR,75000,4047.0,19,
