id,nom,prenom,email,date_naissance,pays,code_postal,chiffre_affaires_total,nb_projets,dernier_contact
1,Nguyen,Paul,paul.nguyen@domain.com,%d/%m/%Y,Tunisie,16000,1 235,0,2024-01-10
2,Haddad,Lucas,lucas.haddad@yahoo.com,%Y-%m-%d,france,01300,1905 €,0,10/01/2024
3,Dupont,Awa,awa.dupont@gmail.com,%Y-%m-%d,TN,75 000,1144,17,10/01/2024
4,BENALI,sophie,sophie.benali@gmail.com,%Y-%m-%d,MA,31000,8 751,20,10/01/2024
5,Martin,Amine,amine.martin@domain.com,%Y-%m-%d,TN,75 000,4462,15,10/01/2024
6,Haddad,awa,awa.haddad@domain.com,%d-%m-%Y,FR,01300,6396,11,2024/01/10
7,Diallo,marie,marie diallo@outlook.com,%d/%m/%Y,Tunisie,75000,3962,19,2024-01-10
8,Nguyen,karim,karim.nguyen@yahoo.com,%Y-%m-%d,TN,31000,4562 €,16,2024-01-10
9,Nguyen,Lina,lina.nguyen@gmail.com,%d/%m/%Y,MA,31000,7542,17,2024/01/10
10,Haddad,Sophie,sophie.haddad@domain.com,%Y-%m-%d,Tunisie,01300,9 151,17,10/01/2024
11,Nguyen,Karim,karim.nguyen@yahoo.com,%d/%m/%Y,france,31000,10719,8,2024/01/10
12,MARTIN,jean,jean martin@yahoo.com,%Y-%m-%d,DZ,75000,2 110,9,10/01/2024
13,DURAND,Marie,marie durand@outlook.com,%d/%m/%Y,Tunisie,01300,2 031,9,10/01/2024
14,Benali,lucas,lucas benali@yahoo.com,%d-%m-%Y,MA,75000,10529 €,12,10/01/2024
15,Dupont,paul,paul.dupont@yahoo.com,%Y-%m-%d,TN,16000,13604 €,20,10/01/2024
16,Haddad,Jean,jean.haddad@outlook.com,%Y-%m-%d,FR,75 000,9920,2,10/01/2024
17,Moreau,Amine,amine.moreaugmail.com,%d-%m-%Y,Algerie,31000,13921,19,2024-01-10
18,Dupont,Awa,awa.dupont@domain.com,%d-%m-%Y,Algerie,16000,10287 €,12,2024/01/10
19,Leroy,Amine,amine.leroy@gmail.com,%d/%m/%Y,FR,75 000,12825,18,10/01/2024
20,Benali,paul,paul benali@outlook.com,%Y-%m-%d,TN,16000,12032,2,10/01/2024
21,MARTIN,jean,jean.martin@outlook.com,%Y-%m-%d,TN,01300,4098,9,2024-01-10
22,Nguyen,Sophie,sophie.nguyen@gmail.com,%Y-%m-%d,Maroc,75000,3669,4,10/01/2024
23,BENALI,Paul,paul.benaliyahoo.com,%d-%m-%Y,france,01300,1015,17,2024-01-10
24,Diallo,marie,marie diallo@gmail.com,%Y-%m-%d,france,16000,13313 €,1,2024/01/10
25,Petit,Sophie,sophie petit@yahoo.com,%d-%m-%Y,FR,75000,10832,17,2024/01/10
26,LEROY,Amine,amine leroy@gmail.com,%d/%m/%Y,France,75000,4047,19,2024/01/10
27,Diallo,Lina,lina diallo@domain.com,%d/%m/%Y,france,01300,4428 €,19,10/01/2024
28,Diallo,awa,awa.diallo@yahoo.com,%d/%m/%Y,Maroc,75000,11 835,14,2024/01/10
29,Nguyen,Marie,marie.nguyen@outlook.com,%Y-%m-%d,FR,01300,10504,9,2024/01/10
30,BENALI,Sophie,sophie.benaliyahoo.com,%d-%m-%Y,France,75 000,2679,2,10/01/2024
31,Dupont,marie,marie.dupont@yahoo.com,%Y-%m-%d,france,31000,2214,16,2024/01/10
32,Durand,Paul,paul.durand@gmail.com,%Y-%m-%d,TN,31000,6848 €,6,10/01/2024
33,Leroy,paul,paul.leroy@yahoo.com,%d/%m/%Y,FR,01300,11 061,7,2024-01-10
